sa4_name_2016,sa4_code,anzsco,unempratemvmt,score00,averageannualmvmt20132016mvmt,score0001,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian,score,occunemp,occempscore,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate,unempscore,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,sa4_code,NSWscore,state,propjvinc201316,jv_score,priorityoccup_score,occupunemprate,occunempscore,numbus_industry201315mvmt,_201315score
Central Coast,102,59,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,62.62295082,3,0,2.833331772,1,8.8934148,1
Central Coast,102,61,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,36.69821241,3,0,1.418062031,3,8.8934148,1
Central Coast,102,62,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,32.25806452,3,0,5.58626565,0,8.8934148,1
Central Coast,102,63,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,83.4179357,1,0,2.852111249,1,8.8934148,1
Central Coast,102,71,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,66.56394453,3,0,3.517283791,0,8.8934148,1
Central Coast,102,72,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,119.8770492,3,0,4.54891329,0,8.8934148,1
Central Coast,102,73,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,119.8770492,3,0,2.452576498,2,8.8934148,1
Central Coast,102,74,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,64.35006435,3,0,6.827084124,0,8.8934148,1
Central Coast,102,81,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,35.52795031,3,0,5.323702597,0,8.8934148,1
Central Coast,102,82,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,57.66016713,3,0,8.599890638,0,8.8934148,1
Central Coast,102,83,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,0,2,0,7.394282019,0,8.8934148,1
Central Coast,102,84,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,143.3476395,3,0,5.816067226,0,8.8934148,1
Central Coast,102,85,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,6.95900858,3,0,8.407560815,0,8.8934148,1
Central Coast,102,89,7.637961081,1,-1.72592863,1,570,430,1,1,58400,1,,,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,102,,1,18.46361186,3,0,3.879472423,0,8.8934148,1
New South Wales - Central West,103,11,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,433.2935561,3,0,1.775513209,3,10.43593131,2
New South Wales - Central West,103,12,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,1,0,0,1.775513209,3,10.43593131,2
New South Wales - Central West,103,13,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,161.1739365,3,1,1.934726957,2,10.43593131,2
New South Wales - Central West,103,14,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,45.50128535,1,0,1.38456451,3,10.43593131,2
New South Wales - Central West,103,21,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,299.4708995,3,0,3.044104943,1,10.43593131,2
New South Wales - Central West,103,22,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,165.1234568,3,0,2.395599968,2,10.43593131,2
New South Wales - Central West,103,23,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,36.16843279,2,2,2.744430198,2,10.43593131,2
New South Wales - Central West,103,24,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,123.5491071,3,1,1.983106736,2,10.43593131,2
New South Wales - Central West,103,25,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,229.5609756,3,3,0.842000852,3,10.43593131,2
New South Wales - Central West,103,26,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,107.8144078,3,1,2.189164464,2,10.43593131,2
New South Wales - Central West,103,27,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,118.940754,3,1,1.637641677,3,10.43593131,2
New South Wales - Central West,103,31,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,100,3,1,1.48376513,3,10.43593131,2
New South Wales - Central West,103,32,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,63.74100719,2,2,3.672178202,0,10.43593131,2
New South Wales - Central West,103,33,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,95.09493671,1,3,3.087091782,1,10.43593131,2
New South Wales - Central West,103,34,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,64.21052632,2,2,3.928639959,0,10.43593131,2
New South Wales - Central West,103,35,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,30.92783505,1,2,3.215717391,1,10.43593131,2
New South Wales - Central West,103,36,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,34.8219333,0,0,4.462419792,0,10.43593131,2
New South Wales - Central West,103,39,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,199.1525424,3,0,1.495232111,3,10.43593131,2
New South Wales - Central West,103,41,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,178.4194529,3,1,3.48189448,0,10.43593131,2
New South Wales - Central West,103,42,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,67.11349419,0,0,4.393815552,0,10.43593131,2
New South Wales - Central West,103,43,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,-16.6841553,1,0,5.277350171,0,10.43593131,2
New South Wales - Central West,103,44,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,91.00850547,3,0,3.334412454,1,10.43593131,2
New South Wales - Central West,103,45,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,200,3,0,2.763530685,2,10.43593131,2
New South Wales - Central West,103,51,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,121.3716108,2,0,2.535082122,2,10.43593131,2
New South Wales - Central West,103,52,5.760409011,2,43.53718174,3,342.5,320,2,2,56600,1,,,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,103,,1,121.3716108,2,0,2.826080167,1,10.43593131,2
